,countries,cluster
0,Afghanistan,6
1,Albania,8
2,Algeria,14
3,Anguilla,1
4,Antigua & Barbuda,8
5,Argentina,8
6,Armenia,8
7,Aruba,9
8,Australia,4
9,Austria,9
10,Azerbaijan,14
11,Bahamas. The,1
12,Bahrain,8
13,Bangladesh,12
14,Barbados,1
15,Belarus,9
16,Belgium,9
17,Belize,8
18,Benin,2
19,Bermuda,1
20,Bhutan,2
21,Bolivia,14
22,Botswana,14
23,Brazil,4
24,British Virgin Is.,1
25,Brunei,8
26,Bulgaria,13
27,Burkina Faso,2
28,Burma,2
29,Burundi,12
30,Cambodia,6
31,Cameroon,2
32,Cape Verde,8
33,Cayman Islands,3
34,Central African Rep.,6
35,Chad,2
36,Chile,8
37,China,4
38,Colombia,8
39,Comoros,12
40,Congo. Dem. Rep.,6
41,Congo. Repub. of the,2
42,Costa Rica,8
43,Cote d'Ivoire,2
44,Cuba,13
45,Czech Republic,9
46,Denmark,9
47,Djibouti,2
48,Dominica,8
49,Dominican Republic,8
50,Ecuador,8
51,Egypt,14
52,El Salvador,13
53,Equatorial Guinea,14
54,Eritrea,2
55,Estonia,9
56,Ethiopia,2
57,Fiji,8
58,Finland,9
59,France,9
60,French Guiana,8
61,French Polynesia,8
62,Gabon,14
63,Gambia. The,2
64,Georgia,8
65,Germany,9
66,Ghana,2
67,Greece,9
68,Grenada,8
69,Guadeloupe,1
70,Guatemala,8
71,Guinea,2
72,Guinea-Bissau,6
73,Guyana,8
74,Haiti,6
75,Honduras,8
76,Hong Kong,3
77,Hungary,13
78,Iceland,3
79,India,12
80,Indonesia,14
81,Iran,14
82,Iraq,14
83,Ireland,1
84,Israel,9
85,Jamaica,8
86,Japan,9
87,Jordan,14
88,Kazakhstan,8
89,Kenya,5
90,Korea. North,11
91,Korea. South,9
92,Kuwait,14
93,Kyrgyzstan,8
94,Laos,2
95,Latvia,9
96,Lesotho,10
97,Liberia,2
98,Liechtenstein,1
99,Macau,3
100,Madagascar,2
101,Malawi,10
102,Malaysia,0
103,Maldives,11
104,Mali,6
105,Marshall Islands,7
106,Martinique,1
107,Mauritania,6
108,Mauritius,13
109,Mexico,0
110,Micronesia. Fed. St.,7
111,Mongolia,11
112,Mozambique,6
113,Namibia,5
114,Netherlands,9
115,Netherlands Antilles,1
116,New Caledonia,0
117,New Zealand,3
118,Nicaragua,11
119,Niger,6
120,Nigeria,10
121,Norway,3
122,Oman,5
123,Pakistan,10
124,Palau,0
125,Panama,0
126,Papua New Guinea,5
127,Paraguay,5
128,Peru,11
129,Philippines,11
130,Poland,13
131,Portugal,9
132,Puerto Rico,1
133,Qatar,14
134,Reunion,11
135,Romania,13
136,Rwanda,10
137,Saint Kitts & Nevis,0
138,Saint Lucia,11
139,Saint Vincent and the Grenadines,11
140,Samoa,13
141,Sao Tome & Principe,7
142,Saudi Arabia,14
143,Senegal,5
144,Seychelles,0
145,Sierra Leone,6
146,Singapore,3
147,Somalia,6
148,South Africa,5
149,Spain,9
150,Sri Lanka,0
151,Sudan,11
152,Suriname,11
153,Swaziland,10
154,Sweden,3
155,Switzerland,3
156,Syria,5
157,Taiwan,3
158,Tajikistan,11
159,Thailand,11
160,Togo,10
161,Tonga,7
162,Trinidad & Tobago,0
163,Tunisia,11
164,Turkey,13
165,Turkmenistan,5
166,Uganda,10
167,Ukraine,13
168,United Arab Emirates,0
169,United Kingdom,3
170,United States,3
171,Uruguay,0
172,Uzbekistan,11
173,Vanuatu,11
174,Venezuela,0
175,Vietnam,0
176,Yemen,5
177,Zambia,5
178,Zimbabwe,5
